,Company,Departments,Description,Experience,Industry,Location,Portal,Portal_Id,Posted_On,Scraped_Datetime,Skills,Title,Type,URL,_id
174,Relaxo Footwears Ltd ,['Operations/Customer Service/Telecalling/Backend'],"Such is the story behind the creation and flourishing of Relaxo Footwear, the company that has established itself as one of the most stalwart, quality conscious and avant-garde footwear companies in the Indian economy today. Headquartered in New Delhi, India, it maintains a fine combination of comfort, style, and workmanship and is embarking upon appreciable growth plans for the future. The company began as a small enterprise in the year 1976 and was officially incorporated in 1984 and further went into public listing in 1995. According to the 2008 Business Survey, it has now emerged as the second largest footwear producer in India.Relaxo Footwear commenced its journey with the manufacture of Hawaii slippers. It has now grown into a large-scale entrepreneurship catering to the basic needs of the quintessential Indian citizen. From a modest sales figure of Rs. 1 million in 1977 to more than Rs. 8700 million last year; the company has experienced a record-breaking growth since inception. Today, the company manufactures over 3 lakh pairs of footwear per day, which approximately adds up to over 10 million pairs per year. Each pair is given thorough attention by the dedicated and skilled employees working at the 9 state-of-the-art manufacturing units in Northern India.Job Details:City - [[city]]State - [[state]]Department - [[custDepartment]]Sub Department - OperationsSub Sub Department - OutletPersonnel Area - [[personnelArea]]Personnel Sub Area - [[personnelSubArea]]Grade - S2- Asst / SupervisorPosition Title: CCADepartment:RetailWork Location:Grade:Asstt. / Sr. AssttTravel Required:YesReporting to:Administrative:ROIReported by:N AFunctional:ROIMinimum Job RequirementsEducational Qualification:10th or 12thExperience:0-2 YearsAny additional requirement:Purpose of the Position (Job Summary)This position is responsible for achieving the sales targets, customer handling and hygienic at store.Key Roles and ResponsibilitiesFinancial-To Fulfill the sales targetCustomer Oriented-To attend the customer in the outlet amicably and understand the needs of the customer .-To attend the customer queries gracefully and solve the customer grievance in coordination with ROIPeople Oriented-To ensure smooth functioning at outlet through proper co-ordination with other staff.-Team buildingInternal Business Process-To Keep track on stock availability and update the ROI about the stock replenishment.-Responsible for proper hygienic at Store.CompetenciesTechnical/FunctionalBehavioralSelling skillCustomer handling skillStock maintaining skill1.Strong interpersonal skills2.Coustomer OrientationKey Responsibility AreasQuantitativeQualitativeSales Achievement (Achievement Against Targets.Growth Value (Growth Against Last Year Respective Month )1. Customer ServiceDisplay and hygienic at storeKey Stakeholder ManagementInternalExternalRetail Outlet InchargeCluster Incharge1.Customers        ",0 to 2 years,"Apparel/Garments, Manufacturing/Industrial",Lucknow (Uttar Pradesh),Times Jobs,-2517991476133918542,2020-08-10 11:18:32.044,2020-08-10 11:18:32.077,"['grievance', 'people oriented', 'team building']",Customer Care Assistant,Full Time,https://www.timesjobs.com/job-detail/customer-care-assistant-relaxo-footwears-ltd-lucknow-0-to-2-yrs-jobid-3vQJpNqhI0hzpSvf__PLUS__uAgZw==&source=srp,5f312d2c3fca4a5498b8c0a7
175,Relaxo Footwears Ltd ,['Operations/Customer Service/Telecalling/Backend'],"Such is the story behind the creation and flourishing of Relaxo Footwear, the company that has established itself as one of the most stalwart, quality conscious and avant-garde footwear companies in the Indian economy today. Headquartered in New Delhi, India, it maintains a fine combination of comfort, style, and workmanship and is embarking upon appreciable growth plans for the future. The company began as a small enterprise in the year 1976 and was officially incorporated in 1984 and further went into public listing in 1995. According to the 2008 Business Survey, it has now emerged as the second largest footwear producer in India.Relaxo Footwear commenced its journey with the manufacture of Hawaii slippers. It has now grown into a large-scale entrepreneurship catering to the basic needs of the quintessential Indian citizen. From a modest sales figure of Rs. 1 million in 1977 to more than Rs. 8700 million last year; the company has experienced a record-breaking growth since inception. Today, the company manufactures over 3 lakh pairs of footwear per day, which approximately adds up to over 10 million pairs per year. Each pair is given thorough attention by the dedicated and skilled employees working at the 9 state-of-the-art manufacturing units in Northern India.Job Details:Job Posting in - India (IN)City - [[city]]State - [[state]]Position Title: CCADepartment:RetailWork Location:Grade:Asstt. / Sr. AssttTravel Required:YesReporting to:Administrative:ROIReported by:N AFunctional:ROIMinimum Job RequirementsEducational Qualification:10th or 12thExperience:0-2 YearsAny additional requirement:Purpose of the Position (Job Summary)This position is responsible for achieving the sales targets, customer handling and hygienic at store.Key Roles and ResponsibilitiesFinancial-To Fulfill the sales targetCustomer Oriented-To attend the customer in the outlet amicably and understand the needs of the customer .-To attend the customer queries gracefully and solve the customer grievance in coordination with ROIPeople Oriented-To ensure smooth functioning at outlet through proper co-ordination with other staff.-Team buildingInternal Business Process-To Keep track on stock availability and update the ROI about the stock replenishment.-Responsible for proper hygienic at Store.CompetenciesTechnical/FunctionalBehavioralSelling skillCustomer handling skillStock maintaining skill1.Strong interpersonal skills2.Coustomer OrientationKey Responsibility AreasQuantitativeQualitativeSales Achievement (Achievement Against Targets.Growth Value (Growth Against Last Year Respective Month )1. Customer ServiceDisplay and hygienic at storeKey Stakeholder ManagementInternalExternalRetail Outlet InchargeCluster Incharge1.Customers        ",0 to 2 years,"Apparel/Garments, Manufacturing/Industrial",Dehradun (Uttaranchal),Times Jobs,146513071145007659,2020-08-10 11:18:34.646,2020-08-10 11:18:34.700,"['job posting', 'grievance', 'people oriented', 'team building']",Customer Care Assistant,Full Time,https://www.timesjobs.com/job-detail/customer-care-assistant-relaxo-footwears-ltd-dehradun-0-to-2-yrs-jobid-zRvC4fRAmdJzpSvf__PLUS__uAgZw==&source=srp,5f312d2c3fca4a5498b8c0a8
176,Relaxo Footwears Ltd ,['Operations/Customer Service/Telecalling/Backend'],"Such is the story behind the creation and flourishing of Relaxo Footwear, the company that has established itself as one of the most stalwart, quality conscious and avant-garde footwear companies in the Indian economy today. Headquartered in New Delhi, India, it maintains a fine combination of comfort, style, and workmanship and is embarking upon appreciable growth plans for the future. The company began as a small enterprise in the year 1976 and was officially incorporated in 1984 and further went into public listing in 1995. According to the 2008 Business Survey, it has now emerged as the second largest footwear producer in India.Relaxo Footwear commenced its journey with the manufacture of Hawaii slippers. It has now grown into a large-scale entrepreneurship catering to the basic needs of the quintessential Indian citizen. From a modest sales figure of Rs. 1 million in 1977 to more than Rs. 8700 million last year; the company has experienced a record-breaking growth since inception. Today, the company manufactures over 3 lakh pairs of footwear per day, which approximately adds up to over 10 million pairs per year. Each pair is given thorough attention by the dedicated and skilled employees working at the 9 state-of-the-art manufacturing units in Northern India.Job Details:Job Posting in - India (IN)City - [[city]]State - [[state]]Position Title: CCADepartment:RetailWork Location:Grade:Asstt. / Sr. AssttTravel Required:YesReporting to:Administrative:ROIReported by:N AFunctional:ROIMinimum Job RequirementsEducational Qualification:10th or 12thExperience:0-2 YearsAny additional requirement:Purpose of the Position (Job Summary)This position is responsible for achieving the sales targets, customer handling and hygienic at store.Key Roles and ResponsibilitiesFinancial-To Fulfill the sales targetCustomer Oriented-To attend the customer in the outlet amicably and understand the needs of the customer .-To attend the customer queries gracefully and solve the customer grievance in coordination with ROIPeople Oriented-To ensure smooth functioning at outlet through proper co-ordination with other staff.-Team buildingInternal Business Process-To Keep track on stock availability and update the ROI about the stock replenishment.-Responsible for proper hygienic at Store.CompetenciesTechnical/FunctionalBehavioralSelling skillCustomer handling skillStock maintaining skill1.Strong interpersonal skills2.Coustomer OrientationKey Responsibility AreasQuantitativeQualitativeSales Achievement (Achievement Against Targets.Growth Value (Growth Against Last Year Respective Month )1. Customer ServiceDisplay and hygienic at storeKey Stakeholder ManagementInternalExternalRetail Outlet InchargeCluster Incharge1.Customers        ",0 to 2 years,"Apparel/Garments, Manufacturing/Industrial",Bareilly (Uttar Pradesh),Times Jobs,-180616120976961376,2020-08-10 11:18:36.454,2020-08-10 11:18:36.488,"['job posting', 'grievance', 'people oriented', 'team building']",Customer Care Assistant,Full Time,https://www.timesjobs.com/job-detail/customer-care-assistant-relaxo-footwears-ltd-bareilly-0-to-2-yrs-jobid-kOJF8ectLhpzpSvf__PLUS__uAgZw==&source=srp,5f312d2c3fca4a5498b8c0a9
177,Relaxo Footwears Ltd ,['Operations/Customer Service/Telecalling/Backend'],"Such is the story behind the creation and flourishing of Relaxo Footwear, the company that has established itself as one of the most stalwart, quality conscious and avant-garde footwear companies in the Indian economy today. Headquartered in New Delhi, India, it maintains a fine combination of comfort, style, and workmanship and is embarking upon appreciable growth plans for the future. The company began as a small enterprise in the year 1976 and was officially incorporated in 1984 and further went into public listing in 1995. According to the 2008 Business Survey, it has now emerged as the second largest footwear producer in India.Relaxo Footwear commenced its journey with the manufacture of Hawaii slippers. It has now grown into a large-scale entrepreneurship catering to the basic needs of the quintessential Indian citizen. From a modest sales figure of Rs. 1 million in 1977 to more than Rs. 8700 million last year; the company has experienced a record-breaking growth since inception. Today, the company manufactures over 3 lakh pairs of footwear per day, which approximately adds up to over 10 million pairs per year. Each pair is given thorough attention by the dedicated and skilled employees working at the 9 state-of-the-art manufacturing units in Northern India.Job Details:Job Posting in - India (IN)City - [[city]]State - [[state]]Position Title: CCADepartment:RetailWork Location:Grade:Asstt. / Sr. AssttTravel Required:YesReporting to:Administrative:ROIReported by:N AFunctional:ROIMinimum Job RequirementsEducational Qualification:10th or 12thExperience:0-2 YearsAny additional requirement:Purpose of the Position (Job Summary)This position is responsible for achieving the sales targets, customer handling and hygienic at store.Key Roles and ResponsibilitiesFinancial-To Fulfill the sales targetCustomer Oriented-To attend the customer in the outlet amicably and understand the needs of the customer .-To attend the customer queries gracefully and solve the customer grievance in coordination with ROIPeople Oriented-To ensure smooth functioning at outlet through proper co-ordination with other staff.-Team buildingInternal Business Process-To Keep track on stock availability and update the ROI about the stock replenishment.-Responsible for proper hygienic at Store.CompetenciesTechnical/FunctionalBehavioralSelling skillCustomer handling skillStock maintaining skill1.Strong interpersonal skills2.Coustomer OrientationKey Responsibility AreasQuantitativeQualitativeSales Achievement (Achievement Against Targets.Growth Value (Growth Against Last Year Respective Month )1. Customer ServiceDisplay and hygienic at storeKey Stakeholder ManagementInternalExternalRetail Outlet InchargeCluster Incharge1.Customers        ",0 to 2 years,"Apparel/Garments, Manufacturing/Industrial",Lucknow (Uttar Pradesh),Times Jobs,2178532168198009761,2020-08-10 11:18:37.787,2020-08-10 11:18:37.813,"['job posting', 'grievance', 'people oriented', 'team building']",Customer Care Assistant,Full Time,https://www.timesjobs.com/job-detail/customer-care-assistant-relaxo-footwears-ltd-lucknow-0-to-2-yrs-jobid-K1hKJ3Tv65JzpSvf__PLUS__uAgZw==&source=srp,5f312d2c3fca4a5498b8c0aa
178,Teradata Corporations ,['IT Software : Software Products & Services'],"Teradata Performance DBA Location: Airoli Navi Mumbai, Maharashtra INRequisition Number:208133Job Category:ConsultingAiroli Navi Mumbai, Maharashtra INConsidering COVID-19, we are still hiring but conducting virtual interviews to keep our candidates and employees safe. Many roles will be temporarily remote or work from home to comply with current safety regulations. These roles will be required to be in the office once it is safe or restrictions are lifted. Read more on our response here: Teradata Response to COVID-19With all the investments made in analytics, its time to stop buying into partial solutions that overpromise and underdeliver. Its time to invest in answers. Only Teradata leverages all of the data, all of the time, so that customers can analyze anything, deploy anywhere, and deliver analytics that matter most to them. And we do it at scale, on-premises, in the Cloud, or anywhere in between.We call this Pervasive Data Intelligence. Its the answer to the complexity, cost, and inadequacy of todays analytics. And it's the way Teradata transforms how businesses work and people live through the power of data throughout the world. Join us and help create the era of Pervasive Data Intelligence.Skill: Teradata Performance DBALocation: Mumbai/PuneJob SummaryManage and support 24x7 production databases as well as development databases to ensure maximum availability of database resource for various applicationsHe should perform the DBA related tasks in key areas of System Administration, Database Administration, Backup, Archive & Restore Management, Performance Management & ReportingPerform capacity planning, performance monitoring and tuning, Strategies defined for backup/recovery techniques, and problem determination and resolution.Review Teradata system reports and provide performance assessment report with recommendations to optimize system.Investigate and quantify opportunities from performance assessment reports and apply best practices in each of the areas.Key ResponsibilitiesManage Production/Development databases in the following areasPerformance Tuning for system and queriesReview Performance assessment and provide optimization recommendationsView Point Monitoring for identifying tuning opportunitiesStatistics Management and OptimizationOptimal index analysis - Review Index usage on tables and recommend adding dropping indexes for optimal data accessCompression  using various algorithms like MVC/ BLC/ ALC.Optimize locking statements in views, macros & queries to eliminate blocking contention among usersReview the Spool Limits for the users and recommend optimal limit for the Ad-hoc users to avoid run away queries over consuming system resources.Check for Mismatch data types in the system and make them unique to avoid costly translations during query processingReview Set tables and check for the options to convert to MultiSet to avoid costly duplicate row checking operationReview Large Scan Tables on the system and analyze for using PPI, MLPPI, Compression, Secondary indexes & Join IndexesFine tune various application parameters/number of sessions to ensure optimal functioning of the application.Analyze various applications and understand the space requirements and segregate the disk space under the categories of perm, spool and temp spaceGenerate periodic performance reports using PDCR & Higa macros and identify bottlenecks with the system performanceEstablish PDCR canary performance baseline. Utilize standard canary queries to identify variance from baseline.Effective usage of TASM & Priority distribution to penalize the resource intensive queries, Give high priority to business critical workloads, Throttling of different workloads for optimal throughput and provide performance reports to check workload management health.Teradata DBAsSystem Performance monitoring using Teradata Viewpoint.Exposure to Teradata tools like Teradata Administrator/SQL Assistance etc.User/objects & access rights management as per Teradata Best practices.Exposure to backup and restore process using Veritas NetBackup(TARA) / Netvault / Tivoli/ DSA etc.Exposure to manage the development/QA boxes.Exposure as an Development DBA.Well conversant with various ticketing system/production change request/ Teradata Incident management.Exposure to troubleshoot the FastLoad / Multiload/ FastExport/ BTEQ/ TPump errors, should be good at error handling.Exposure to DWH Env (Knowledge of ETL/DI/BI Reporting).Skills & AttributesFull Time Bachelors or Masters Degree from reputed institute3-5 years of IT Experience3  years of Teradata DBA experienceShould have worked in Unix platforms.Good presentation, communication skills.Must be willing to provide 24x7 on-call support on a rotational basis with the team.Must be willing to travel  both short-term and long-termDesirable Skills :-Understanding of Normalization and De-normalization conceptAbility to write efficient SQL & exposure to query tuning.Should have good working knowledge on UNIX shell scripting.Should have good understanding of data archive/restore policies.Should be good at automating various processes.Should be good at users/objects/rights management.Some experience in an environment where ETL/BI tools such as Informatica, DataStage, OWB, Hyperion, Business Objects, SAS, and Microstrategy were an important part of the environment.        ",3 to 5 years,"IT-Hardware/Networking, Telecom","Navi Mumbai (Maharashtra), Mumbai (Maharashtra), Pune (Maharashtra)",Times Jobs,3650244799120047222,2020-08-10 11:18:38.982,2020-08-10 11:18:39.079,"['fastload', 'multiload', 'di', 'etl', 'microstrategy', 'hyperion', 'dwh', 'business objects', 'unix', 'fastexport', 'bi', 'tpump', 'sql', 'bteq', 'system administration', 'database', 'sas', 'datastage', 'teradata', 'owb', 'informatica']",Teradata Performance DBA,Full Time,https://www.timesjobs.com/job-detail/teradata-performance-dba-teradata-corporations-navi-mumbai-mumbai-pune-3-to-5-yrs-jobid-1w1oCr__SLASH__DgoVzpSvf__PLUS__uAgZw==&source=srp,5f312d2c3fca4a5498b8c0ab
179,Yash Technologies Pvt Ltd ,['IT Software : Software Products & Services'],"Independent Contractor-SAP eWM JobJob Requisition Id: 18541Job Category: ERPLocation: Hyderabad, INOur SAP service line is currently looking for industry-leading SAP EWM Functional professionals with hands-on experience. Should have the ability to analyze technical needs, and work with the customers to develop project scope of work documents and Project Plans.You are required to have skills in the following areas: Experience in SAP Extended Warehouse Management Solutions being special emphasis areas Should have good integration knowledge with other components with SAP ECC (WM, SD, MM) Must have strong SAP MM WM knowledge. Must have knowledge of OOPS ABAP. Must have experience on EWM RF, PPF action frame, Monitor framework, and EWM BADI. Independently handle large implementation projects with a focus on Warehouse Management processes such as inbound, outbound, and internal processes. RF Device functions and Barcode support experience is desirable Familiarity with system implementation standards and methodologies Ability to communicate and work well in a cross-functional team environment and also in the offshore/onsite model Experience in international environments with co-existence of global accounting and local statutory needs. Proven ability to quickly learn existing Business Processes and combine knowledge from multiple disciplines (e.g. SAP capability, Standard industry best practice) in order to produce an optimal business solution Demonstrated ability to work across organizational regional and global boundaries, ability to multitask and manage multiple projects in a cross-divisional and cross-functional environment Ability to work independently, effectively coordinating multiple priorities in a dynamic and changing environment and also in a team-oriented, collaborative environment Adept at understanding customer challenges, navigating from problem to resolution and communicating process and resolution effectively both verbally and in writing Experience in Manufacturing industry preferred Strong problem solving and analytical skills. Bachelors degree in Computer Science or equivalent from an accredited college or university Considerable ability to interpret technical procedures to customers Excellent written and verbal communication skills APICS certification is preferred but not mandatory        ",0 to 3 years,"Software Services, IT-Software",Hyderabad/ Secunderabad (Andhra Pradesh),Times Jobs,7215296894774204087,2020-08-10 11:18:42.452,2020-08-10 11:18:42.498,"['sap ewm', 'wm', 'sap mm', 'sap', 'implementation', 'sap ecc', 'ewm', 'abap']",Independent Contractor-SAP eWM,Full Time,https://www.timesjobs.com/job-detail/independent-contractor-sap-ewm-yash-technologies-pvt-ltd-hyderabad-secunderabad-0-to-3-yrs-jobid-Jp0FpanLvcZzpSvf__PLUS__uAgZw==&source=srp,5f312d2c3fca4a5498b8c0ac
180,Trufedu Budgetary Education Private Limited ,['HR/PM/IR/Training'],"Manager Hr Talent Acquisition Location : Mumbai,Ahmedabad,Indore,Bengaluru,Hydrebaad,Chandigarh Experience : Minimum 3 -5 Years . Qualification Min - GraduateJob Description  Responsibilities Talent Management - In partnership with the Talent Management lead, the HR Manager enables the business to attract, retain and develop world changing talent to achieve business results today and in the future  Lead end-to-end talent management processes and practices to identify and respond to gaps in building forward-looking talent capabilities all-up  Acquire, develop, retain and reward diverse and pivotal talent, in partnership with business leaders  Partner with GTA on an end-to-end talent acquisition strategy to address current and future business needs  Connect externally with networks & communities to bring in world class talent and practices  Organizational Effectiveness - Partner with and enable leaders to develop high-functioning orgs to achieve business goals and build culture  Partner with and enable leaders to develop high-functioning orgs to achieve business goals and build culture  Develop holistic org and people plans for individual leadership teams in support of Microsoft people priorities and HR strategies  Leverage business acumen, competitive insights, external benchmarking, data, and best-in-class OD resources to inform decisions on org structures, processes, communication, and similar levers  Ensure that diagnostics of org challenges are accurate, effective, and take a holistic view of the organization  Design and implement well-thought through change plans that account for durable effect  Leadership Effectiveness- Identify, develop and align leaders that can shift culture and drive business transformation and impact  Partner with leaders to diagnose, coach and provide solutions to enable our leaders and leadership teams to collaborate and continuously transform themselves and their teams/org to deliver business results  Take accountability for ensuring capable leaders with the right skills are in the right roles  Hold up the mirror"" to hold leaders and teams accountable for behaviors and actions that drive the new culture  Partner with leaders to build inclusive environment within their organizations        ",3 to 5 years,"Financial Services/Stockbroking, Banking","Ahmedabad (Gujarat), Indore (Madhya Pradesh), Mumbai (Maharashtra), Chandigarh (Punjab), Bengaluru/ Bangalore (Karnataka)",Times Jobs,-630326476936652148,2020-08-10 11:18:45.705,2020-08-10 11:18:45.726,"['talent management', 'talent acquisition', 'hr manager', 'manager hr', 'hr', 'communicatio']",Manager Hr Talent Acquisition,Full Time,https://www.timesjobs.com/job-detail/manager-hr-talent-acquisition-trufedu-budgetary-education-private-limited-ahmedabad-indore-mumbai-chandigarh-bengaluru-bangalore-3-to-5-yrs-jobid-3Zpfb__PLUS__suBWFzpSvf__PLUS__uAgZw==&source=srp,5f312d2c3fca4a5498b8c0ad
181,Trigent Software Ltd ,['IT Hardware : Hardware Products & Services'],"Hiring For Service Deskfrom 1 to 6 year(s) of ExperienceDelhi NCR, BengaluruJob DescriptionRoles and ResponsibilitiesLeading incidents and requests to resolution Development & Implementation of process and workflowsContributing to the Change Management ProcessShould follow Escalation Management ProcessRespond to customers in case of escalations in a timely and accurate mannerExperience with ticketing tools (Service Now, BMC Remedy ITSM tool etc.)Address operational system issues including file and share permissions, user accounts and installing applicationsExpertise in administering windows Operating Systems/serversProficiency with desktop hardware and software, including operating systems and MS Office products remote dial-in users.Expertise on Microsoft, specifically Active Directory, DNS, DHCP, Group Policy, OWA, Remote systems administration and Servers technologiesAdvanced knowledge of desktop operating systems, network topology, desktop security, imaging, and desktop hardware and software installation procedures.knowledge of using MS Office (Especially Outlook/0365)Knowledge of troubleshooting Citrix, QTP, Oracle, ERP, DBA, SSL certificates, CRM tools, Microsoft Lync, SharePoint, and LiveMeeting will be added advantageBasic Knowledge of IP addressing Networking, VPN, DNS, TCP/IP and AntivirusProvide end to end support for Servers/network, applications and operating system, handheld devices (Active Sync)Analyze system logs and identify potential issues with server systemsFamiliar with other windows Server roles and featuresImplement application systems, in partnership with IT Solutions personnelInvestigate and resolve application problemsInstall, upgrade, configure and maintain server systems hardware and softwareImplement application systems, in partnership with IT Solutions personnelIncidents & service requests handling accurately following the ITIL practicesProvides communication to the end user on the progress and status of the issues ""as needed""Identifying pain areas or potential areas concern within the client IT Environment and assist in Incident ManagementShould be flexible to work in fixed/rotational 24x7x365 shiftsDesired Candidate ProfileHaving experience of 1 - 5 years in Service desk/voice customer service and supportexperience with problem solving involving hardware, software and networksExpert in building Customer relationship. MandatoryProfessional communication skills with the ability to communicate effectively to a diverse audience and their accents.Effective time management skills and Listening skills MandatoryShould possess good knowledge and real time experience of supporting Infra(understanding of Windows)Ability and willingness to work in a large 24*7*365 Service Desk environmentExposure to call routing software and ITSM tool sets preferable (Candidate needs tohave experience in working tickets on Service Now, Remedy etc.) PreferredAny Graduate, desired B.Tech/B.E/BCA/MCA        ",1 to 5 years,"Software Services, Internet/Dot com/ISP","Delhi (Delhi), Delhi/ NCR (Delhi), Bengaluru/ Bangalore (Karnataka)",Times Jobs,9001080248381264571,2020-08-10 11:18:46.773,2020-08-10 11:18:46.826,"['networking', 'windows troubleshooting', 'software installation', 'desktop support', 'windows server', 'hardware', 'ip', 'dns', 'desktop hardware', 'desktop engineer', 'network', 'technical support', 'desktop', 'remote support', 'installation', 'dhcp', 'infrastructure', 'outlook']",Service Desk,Full Time,https://www.timesjobs.com/job-detail/service-desk-trigent-software-ltd-delhi-delhi-ncr-bengaluru-bangalore-1-to-5-yrs-jobid-qBXZLbfrdxhzpSvf__PLUS__uAgZw==&source=srp,5f312d2c3fca4a5498b8c0ae
182,Mercer Pvt Ltd ,['Administration'],"IJP - Health Operations - Senior Darwin Service Specialist (D2) role (RS) Location: Noida, IndiaCompany: MercerJob ID R_095849-enINTERNAL JOB POSTINGHealth OperationsHealth Operations (Mercer) is seeking candidates for the following position based in the Noida officeTeam Manager (Individual Contributor)No. of Positions -1What can you expect?We are looking to hire a Team Manager (Individual Contributor) in the Healthcare OperationsThe role will be responsible for working within the Client Team, specifically within the service & support function to deliver an excellent and consistent experience for all our clients through our channels of communication. The Client team works closely together to support one another in achieving results and delivering to our clientsThis rolewill supporta portfolio of clients that outsource payroll and provider processes to us. You will manage the day to day needs of our clients and their use of the technical platform; performing payroll & benefit administrative tasks, and answering technical queries from clients, employee escalations & 3rd party providers. You will be a service specialist, you will be required to maintain strong client relationships and consult on ongoing services withinYou will work with the Client Manager & Helpdesk (where service purchased) to own the client relationship and maintain/improve your client satisfaction scores. You will be required to recommend improvements and efficiencies in ways of working. You will work to support other members in the team to train and mentor them within their role.You will work closely with our project delivery team on system change requests (including annual benefit selection windows & changes to HR System) and will support to transition clients from project launch to business as usual servicing; recommending best practice and suggesting the most efficient processes to deliver ongoing services.What is in it for you?Working with various teams for a mix of transaction and project based work from the day you join us10 holidays along with 17 earned leaves, 15 sick leaves and 10 casual leaves in a calendar yearShared Transport (Provided the address falls in service zone)We will count on you for:Relationship management:Be the lead point of contact on client accounts. Coordinate client work to be delivered within your teamAbility to develop a close working relationship with the client through a deep understanding of the clients requirements in the context of their business structure, expectations and preferred way of working.Listen to clients in order to identify problems and implement technical or process focused solutions to provide an exceptional service; putting the client at the centre of what we do.Manage key stakeholders both internally and externally.Liaise with other teams to resolve client queries and recommend efficiencies.Manage communication from clients by e-mail, telephone and in person to build a solid working relationship.Proactively manage client escalations/queries and evidence contributions to the client satisfaction score.Responsible for understanding and supporting improvements for clients use of the toolMentor other team members and support in work allocationService Delivery:Become a specialist; manage client administrator use of the software from a business as usual capacity. Review release notesBe aware of bugs or technical issues in the tool that could impact client operations.Complete scheduled work in line with clients monthly processing deadlines including client administration, which is subject to change dependent on the demands of the business and our seasonal peak work schedule.Track and ensure KPIs are met for clients.Maintain process documentation.Prioritise and manage your work load within your client portfolio.Attend client calls & meetings to support on action logs and project related work as required.Complete standard quality and peer review checks of work as required.Identify administration efficiencies and communicate product updates, implement software changes where required to streamline processing.Prepare for annual flex windows from a processing perspective, own post AFR reporting and payroll changes; attend project meetings, carry out UAT (testing) from a processing perspective.Identify discrepancies within the following and remedy: Inbound client data files;Process scheduling and any changes that occur from the standard operation;Outbound data files (Payroll, Provider).Track all work within task management system and work with the lead to manage work allocation within your team.Attend project related calls where BAU is impacted including Annual Enrolment windows and key changes to client systems such as change to payroll provider or 3rd party benefit provider. Understand the detail of the project and troubleshoot impact and changes required in BAU.Support in transition of new clients from project launch into business as usual. Recommend processing timeframes and create ongoing Service & Administration documentation.Problem Solving:Use business tools  confluence to investigate and provide resolution to queries.Issue resolution and root cause analysis.Suggest any client improvements to process and delivery to ensure productivity is maintained and efficiency met.Have the credibility and confidence to challenge decisions where necessary in order to improve results and client satisfaction, whilst taking the clients interests into consideration.Training:Support clients in their use of the tool, ensuring they understand the most recent update in the product to support actions they need to take in the system, or context they will require for testing and their use of the toolSupport with the on-boarding of new team membersKey Performance IndicatorsDelivering a high standard of quality in-call/email handling and call loggingRespond to email queries and admin work on time (within SLA), and to the required high standardTake ownership of queries and ensure they are completed correctly and within timeHandling and recording complaints to FCA standards and timeframesSupport peers in delivering to urgent requests and re-prioritization of work load where neededWhat you need to have:Knowledge & SkillsExcellent written & verbal communication skillsAdvanced Microsoft Word, Microsoft Excel and Microsoft PowerPoint skillsPrevious experience in 1st line support technical role required.Knowledge with applications Confluence/Jira/Zendesk preferable.Experience in working to KPIs including SLAs and working in task management systems  preferably within HR processing and payrollEducation:Graduate (any stream)Eligibility:Minimum 6 years experience in service industryMinimum 12 months experience as a Team Manager/Assistant ManagerShould have at least Meets Expectations or equivalent rating in last appraisalShould not be under any Performance Continuity Plan, or had any official Disciplinary action within the last 3 monthsShould not have applied for any other IJP within Mercer in the last 3 months        ",6 to 9 years,CRM/CallCentres/BPO/ITES/Med.Trans,Noida/ Greater Noida (Uttar Pradesh),Times Jobs,-2983232066688884422,2020-08-10 11:18:47.871,2020-08-10 11:18:47.939,"['hr', 'communicatio', 'processing', 'payroll', 'job posting', 'communication skill', 'management systems', 'disciplinary action']",IJP - Health Operations - Senior Darwin Service Specialist (D2) role (RS),Full Time,https://www.timesjobs.com/job-detail/ijp-health-operations-senior-darwin-service-specialist-d2-role-rs-mercer-pvt-ltd-noida-greater-noida-6-to-9-yrs-jobid-2bjF__PLUS__Pw2Ca9zpSvf__PLUS__uAgZw==&source=srp,5f312d2c3fca4a5498b8c0af
183,MOUNT TALENT CONSULTING ,['Doctors/Nurses/Medical Professional'],"Urgent opening For Consultant -Anaesthesia position For Lucknow .from 3 to 8 year(s) of ExperienceLucknowJob DescriptionPosition- Consultant -AnaesthesiaLocation - Lucknow UPSalary - NegotiableRequirements :Anaesthesiologists for ICU care and OT, specialisation in critical care will be ad on,Minimum4-- 5 years of experience in handling ICU of more that 20 beds and handling OT surgeries.Salary: INR 15,00,000 - 25,00,000 PA.Industry:Medical / Healthcare / HospitalsFunctional Area:Medical, Healthcare, R&D, Pharmaceuticals, BiotechnologyRole Category:Medical ProfessionalRole:AnaesthetistKeyskillsOT senior resident Critical Care ICUDesired Candidate ProfilePlease refer to the Job description aboveEducation-PG:Medical-MS/MD - Any SpecializationCompany ProfileMount Talent Consulting Private Limited        ",5 to 8 years,"Recruitment/Placement Agencies, Consulting Services",Lucknow (Uttar Pradesh),Times Jobs,3064888639178867328,2020-08-10 11:18:49.237,2020-08-10 11:18:49.286,"['anaesthesiologist', 'ot', 'senior resident', 'md', 'icu', 'anaesthetist', 'healthcare']",Consultant -Anaesthesia,Full Time,https://www.timesjobs.com/job-detail/consultant-anaesthesia-mount-talent-consulting-lucknow-5-to-8-yrs-jobid-X8DlSmBzZsdzpSvf__PLUS__uAgZw==&source=srp,5f312d2c3fca4a5498b8c0b0
